Day + Time,TempC,Windspeed(km/h),Windir16Point,WeatherCode,Humidity (%),Visibility (km),Pressure (mb),Cloudcover (%)
2013-03-12 - 1200,35,11,SE,113,40,10,1012,26
2013-03-12 - 1500,34,15,SSE,113,41,10,1009,46
2013-03-12 - 1800,27,15,SSE,113,63,10,1012,44
2013-03-13 - 0,25,11,SSE,119,83,10,1013,15
2013-03-13 - 300,25,6,S,119,86,10,1012,11
2013-03-13 - 600,26,4,ESE,116,83,10,1014,6
2013-03-13 - 900,32,5,ESE,113,52,10,1014,8
2013-03-13 - 1200,36,4,SSE,119,38,10,1012,26
2013-03-13 - 1500,34,13,SSE,116,44,10,1009,46
2013-03-13 - 1800,28,13,SSE,113,66,10,1012,44
2013-03-14 - 0,25,7,SE,113,85,10,1013,15
2013-03-14 - 300,24,7,ESE,116,89,10,1012,11
2013-03-14 - 600,26,9,ESE,116,85,10,1014,6
2013-03-14 - 900,32,10,E,113,53,10,1014,8
2013-03-14 - 1200,36,10,ESE,116,38,10,1012,26
2013-03-14 - 1500,34,17,SSE,116,43,10,1009,46
2013-03-14 - 1800,28,18,SSE,113,67,10,1012,44
2013-03-15 - 0,26,11,SE,113,84,10,1013,15
2013-03-15 - 300,25,8,E,113,85,10,1012,11
2013-03-15 - 600,26,11,E,113,77,10,1014,6
2013-03-15 - 900,33,10,ENE,116,49,10,1014,8
2013-03-15 - 1200,36,4,ESE,119,39,10,1012,26
2013-03-15 - 1500,32,14,SSE,353,50,10,1009,46
2013-03-15 - 1800,28,13,SE,116,69,10,1012,44
2013-03-16 - 0,26,10,SE,116,77,10,1013,15
2013-03-16 - 300,25,9,ESE,113,77,10,1012,11
2013-03-16 - 600,26,8,ENE,113,71,10,1014,6
2013-03-16 - 900,32,6,ENE,113,52,10,1014,8
2013-03-16 - 1200,37,4,ESE,113,37,10,1012,26
2013-03-16 - 1500,35,10,SSE,116,39,10,1009,46
2013-03-16 - 1800,29,17,SSE,116,62,10,1012,44
2013-03-17 - 0,26,12,SE,113,76,10,1013,15
2013-03-17 - 300,26,8,SE,116,80,10,1012,11
2013-03-17 - 600,26,9,ESE,113,76,10,1014,6
2013-03-17 - 900,33,7,E,113,51,10,1014,8
2013-03-17 - 1200,36,3,ESE,116,40,10,1012,26
2013-03-17 - 1500,33,17,SSE,353,49,10,1009,46
2013-03-17 - 1800,28,16,SSE,113,70,10,1012,44
2013-03-18 - 0,26,10,SSE,113,82,10,1013,15
2013-03-18 - 300,25,8,SSE,116,85,10,1012,11
2013-03-18 - 600,26,8,SSE,119,81,10,1014,6
2013-03-18 - 900,32,9,SE,113,56,10,1014,8
2013-03-18 - 1200,36,8,SSE,113,42,10,1012,26
2013-03-18 - 1500,34,10,SSE,176,45,9,1009,46
2013-03-18 - 1800,29,15,SSE,116,66,10,1012,44
2013-03-19 - 0,26,11,SSE,116,81,10,1013,15
2013-03-19 - 300,25,6,SSE,119,85,10,1012,11
2013-03-19 - 600,26,6,SE,116,82,10,1014,6
2013-03-19 - 900,30,9,SE,116,65,10,1014,8
2013-03-19 - 1200,35,12,SSE,113,44,10,1012,26
2013-03-19 - 1500,34,19,SSE,113,44,10,1009,46
2013-03-19 - 1800,28,17,SE,113,63,10,1012,44
2013-03-20 - 0,25,9,SSE,113,78,10,1013,15
2013-03-20 - 300,24,6,S,113,85,10,1012,11
2013-03-20 - 600,26,8,SSE,113,80,10,1014,6
2013-03-20 - 900,31,10,SSE,113,52,10,1014,8
2013-03-20 - 1200,36,10,SSE,116,37,10,1012,26
2013-03-20 - 1500,35,17,SSE,116,39,10,1009,46
2013-03-20 - 1800,28,15,SSE,113,63,10,1012,44
2013-03-21 - 0,25,8,SSE,113,86,10,1013,15
2013-03-21 - 300,24,6,SSE,116,92,10,1012,11
2013-03-21 - 600,26,5,SSE,116,86,10,1014,6
2013-03-21 - 900,33,6,SE,113,51,10,1014,8
2013-03-21 - 1200,37,9,SE,116,37,10,1012,26
2013-03-21 - 1500,35,17,SSE,113,39,10,1009,46
2013-03-21 - 1800,28,17,SSE,113,61,10,1012,44
2013-03-22 - 0,26,12,SSE,116,82,10,1013,15
2013-03-22 - 300,25,10,SE,116,86,10,1012,11
2013-03-22 - 600,26,13,ESE,116,81,10,1014,6
2013-03-22 - 900,32,12,ESE,113,49,10,1014,8
2013-03-22 - 1200,37,10,SE,116,36,10,1012,26
2013-03-22 - 1500,34,16,SSE,116,41,10,1009,46
2013-03-22 - 1800,29,17,SSE,116,61,10,1012,44
2013-03-23 - 0,26,10,SE,116,80,10,1013,15
2013-03-23 - 300,25,7,SE,113,85,10,1012,11
2013-03-23 - 600,27,9,ESE,116,81,10,1014,6
2013-03-23 - 900,33,5,ESE,113,52,10,1014,8
2013-03-23 - 1200,37,3,SSE,119,39,10,1012,26
2013-03-23 - 1500,34,14,SSE,353,45,10,1009,46
2013-03-23 - 1800,29,17,SE,113,61,10,1012,44
2013-03-24 - 0,27,9,SSE,116,75,10,1013,15
2013-03-24 - 300,26,6,SSE,116,80,10,1012,11
2013-03-24 - 600,27,4,SE,116,77,10,1014,6
2013-03-24 - 900,33,5,SE,116,52,10,1014,8
2013-03-24 - 1200,37,5,SSE,119,40,10,1012,26
2013-03-24 - 1500,34,14,SE,356,50,7,1009,46
2013-03-24 - 1800,29,14,SSE,116,70,10,1012,44
2013-03-25 - 0,27,9,SSE,113,82,10,1013,15
2013-03-25 - 300,26,8,SSE,176,83,9,1012,11
2013-03-25 - 600,27,6,S,113,79,10,1014,6
2013-03-25 - 900,34,4,S,116,52,10,1014,8
2013-03-25 - 1200,37,6,S,200,41,9,1012,26
2013-03-25 - 1500,35,13,SSE,353,45,10,1009,46
2013-03-25 - 1800,30,14,SSE,200,70,9,1012,44
2013-03-26 - 0,27,10,SSE,116,80,10,1013,15
2013-03-26 - 300,26,10,SSE,116,82,10,1012,11
2013-03-26 - 600,28,10,SSE,116,78,10,1014,6
2013-03-26 - 900,32,12,SE,116,57,10,1014,8
2013-03-26 - 1200,36,14,SE,116,44,10,1012,26
2013-03-26 - 1500,34,12,SSE,176,48,9,1009,46
2013-03-26 - 1800,29,15,SSE,116,64,10,1012,44
2013-03-27 - 0,26,9,SE,113,80,10,1013,15
2013-03-27 - 300,26,6,SE,113,85,10,1012,11
2013-03-27 - 600,27,5,SSE,113,81,10,1014,6
2013-03-27 - 900,32,9,SSE,116,55,10,1014,8
2013-03-27 - 1200,36,11,SSE,119,43,10,1012,26
2013-03-27 - 1500,34,16,SE,353,48,10,1009,46
2013-03-27 - 1800,29,13,SSE,113,67,10,1012,44
2013-04-01 - 0,27,13,SE,116,79,10,1007,22
2013-04-01 - 300,27,9,ESE,116,83,10,1006,37
2013-04-01 - 600,28,10,ESE,116,77,10,1007,52
2013-04-01 - 900,34,10,ESE,113,50,10,1008,33
2013-04-01 - 1200,37,11,SE,116,37,10,1006,22
2013-04-01 - 1500,35,16,SSE,116,43,10,1004,25
2013-04-01 - 1800,30,14,SE,116,65,10,1004,59
2013-04-02 - 0,28,12,SE,113,77,10,1007,22
2013-04-02 - 300,27,9,ESE,116,80,10,1006,37
2013-04-02 - 600,28,8,E,113,75,10,1007,52
2013-04-02 - 900,34,9,ENE,113,49,10,1008,33
2013-04-02 - 1200,38,7,ESE,116,38,10,1006,22
2013-04-02 - 1500,35,14,SSE,116,46,10,1004,25
2013-04-02 - 1800,29,15,SE,116,72,10,1004,59
2013-04-03 - 0,28,14,SE,116,81,10,1007,22
2013-04-03 - 300,27,9,ESE,116,83,10,1006,37
2013-04-03 - 600,28,10,ESE,113,78,10,1007,52
2013-04-03 - 900,34,6,ESE,113,52,10,1008,33
2013-04-03 - 1200,35,10,ESE,113,48,10,1006,22
2013-04-03 - 1500,34,12,SSE,356,53,7,1004,25
2013-04-03 - 1800,30,13,SSE,116,70,10,1004,59
2013-04-04 - 0,27,9,SSE,116,80,10,1007,22
2013-04-04 - 300,27,6,SE,113,83,10,1006,37
2013-04-04 - 600,28,7,SE,113,77,10,1007,52
2013-04-04 - 900,33,9,SE,113,55,10,1008,33
2013-04-04 - 1200,35,11,S,116,49,10,1006,22
2013-04-04 - 1500,33,15,SSE,356,57,7,1004,25
2013-04-04 - 1800,30,14,S,116,72,10,1004,59
2013-04-05 - 0,28,11,SSE,113,83,10,1007,22
2013-04-05 - 300,27,8,SSE,176,87,9,1006,37
2013-04-05 - 600,28,8,SSW,116,82,10,1007,52
2013-04-05 - 900,33,9,SSW,176,58,9,1008,33
2013-04-05 - 1200,35,11,SSW,113,51,10,1006,22
2013-04-05 - 1500,34,12,S,356,52,7,1004,25
2013-04-05 - 1800,31,13,S,116,65,10,1004,59
2013-04-06 - 0,28,8,S,113,80,10,1007,22
2013-04-06 - 300,28,6,SSW,113,83,10,1006,37
2013-04-06 - 600,29,9,SW,113,76,10,1007,52
2013-04-06 - 900,34,9,WSW,113,54,10,1008,33
2013-04-06 - 1200,37,10,WSW,116,42,10,1006,22
2013-04-06 - 1500,36,8,S,353,44,10,1004,25
2013-04-06 - 1800,31,12,S,116,64,10,1004,59
2013-04-07 - 0,28,9,SSW,113,80,10,1007,22
2013-04-07 - 300,27,7,SW,113,83,10,1006,37
2013-04-07 - 600,29,3,WSW,113,78,10,1007,52
2013-04-07 - 900,34,4,ESE,113,55,10,1008,33
2013-04-07 - 1200,35,7,ESE,116,49,10,1006,22
2013-04-07 - 1500,33,14,SE,356,56,7,1004,25
2013-04-07 - 1800,29,14,SE,113,76,10,1004,59
2013-04-08 - 0,28,13,SSE,113,83,10,1007,22
2013-04-08 - 300,27,9,SE,116,84,10,1006,37
2013-04-08 - 600,28,10,ESE,116,79,10,1007,52
2013-04-08 - 900,33,12,ESE,116,56,10,1008,33
2013-04-08 - 1200,35,13,SE,113,47,10,1006,22
2013-04-08 - 1500,33,14,SE,356,53,7,1004,25
2013-04-08 - 1800,29,11,SSE,116,71,10,1004,59
2013-04-09 - 0,27,7,SSE,113,82,10,1007,22
2013-04-09 - 300,27,5,SE,113,85,10,1006,37
2013-04-09 - 600,28,6,ESE,116,81,10,1007,52
2013-04-09 - 900,32,9,ESE,116,60,10,1008,33
2013-04-09 - 1200,33,12,SE,116,56,10,1006,22
2013-04-09 - 1500,32,12,SE,176,57,9,1004,25
2013-04-09 - 1800,29,10,SE,116,70,10,1004,59
2013-04-10 - 0,28,8,ESE,116,82,10,1007,22
2013-04-10 - 300,27,6,ENE,116,83,10,1006,37
2013-04-10 - 600,28,12,E,116,75,10,1007,52
2013-04-10 - 900,31,10,E,116,56,10,1008,33
2013-04-10 - 1200,35,10,ESE,116,45,10,1006,22
2013-04-10 - 1500,33,12,SE,353,55,10,1004,25
2013-04-10 - 1800,29,12,SE,113,75,10,1004,59
2013-04-11 - 0,28,5,ESE,113,81,10,1007,22
2013-04-11 - 300,27,5,NNE,113,82,10,1006,37
2013-04-11 - 600,28,9,NNE,113,80,10,1007,52
2013-04-11 - 900,32,3,ENE,356,62,7,1008,33
2013-04-11 - 1200,33,6,SSE,116,55,10,1006,22
2013-04-11 - 1500,30,5,SE,356,70,7,1004,25
2013-04-11 - 1800,28,12,ESE,116,76,10,1004,59
2013-04-12 - 0,27,8,E,113,82,10,1007,22
2013-04-12 - 300,26,8,NE,113,84,10,1006,37
2013-04-12 - 600,27,6,NNE,116,80,10,1007,52
2013-04-12 - 900,33,5,NE,116,55,10,1008,33
2013-04-12 - 1200,35,8,E,119,41,10,1006,22
2013-04-12 - 1500,33,9,E,116,48,10,1004,25
2013-04-12 - 1800,29,8,SE,116,67,10,1004,59
2013-04-13 - 0,27,13,E,116,68,10,1007,22
2013-04-13 - 300,26,9,ENE,116,72,10,1006,37
2013-04-13 - 600,27,10,ENE,116,67,10,1007,52
2013-04-13 - 900,31,13,ENE,116,50,10,1008,33
2013-04-13 - 1200,31,12,ENE,116,54,10,1006,22
2013-04-13 - 1500,29,8,ENE,353,62,10,1004,25
2013-04-13 - 1800,28,8,SE,116,69,10,1004,59
2013-04-14 - 0,26,8,NE,116,76,10,1007,22
2013-04-14 - 300,26,8,NE,116,77,10,1006,37
2013-04-14 - 600,27,8,ENE,116,70,10,1007,52
2013-04-14 - 900,33,9,ENE,113,48,10,1008,33
2013-04-14 - 1200,37,8,ESE,113,36,10,1006,22
2013-04-14 - 1500,35,14,SSE,113,41,10,1004,25
2013-04-14 - 1800,29,20,SE,113,63,10,1004,59
2013-04-15 - 0,27,12,ESE,113,76,10,1007,22
2013-04-15 - 300,26,8,ESE,113,80,10,1006,37
2013-04-15 - 600,28,12,E,113,72,10,1007,52
2013-04-15 - 900,33,12,E,113,48,10,1008,33
2013-04-15 - 1200,37,10,SE,116,36,10,1006,22
2013-04-15 - 1500,35,17,SSE,116,40,10,1004,25
2013-04-15 - 1800,30,16,SSE,113,63,10,1004,59
2013-04-16 - 0,27,9,SE,113,78,10,1007,22
2013-04-16 - 300,27,8,SE,113,83,10,1006,37
2013-04-16 - 600,28,10,ESE,113,76,10,1007,52
2013-04-16 - 900,33,11,ESE,113,50,10,1008,33
2013-04-16 - 1200,36,10,SSE,113,39,10,1006,22
2013-04-16 - 1500,35,18,SSE,113,44,10,1004,25
2013-04-16 - 1800,30,13,SSE,113,65,10,1004,59
2013-04-17 - 0,28,11,SE,116,78,10,1007,22
2013-04-17 - 300,27,9,SE,176,83,9,1006,37
2013-04-17 - 600,29,10,SE,116,76,10,1007,52
2013-04-17 - 900,33,12,SSE,113,54,10,1008,33
2013-04-17 - 1200,36,16,S,116,42,10,1006,22
2013-04-17 - 1500,34,17,S,356,49,7,1004,25
2013-04-17 - 1800,29,13,SSW,113,68,10,1004,59
2013-04-18 - 0,28,8,SSE,116,75,10,1007,22
2013-04-18 - 300,27,7,SSE,116,78,10,1006,37
2013-04-18 - 600,28,7,S,116,73,10,1007,52
2013-04-18 - 900,33,10,SW,176,56,9,1008,33
2013-04-18 - 1200,36,10,SW,116,40,10,1006,22
2013-04-18 - 1500,36,11,SSW,116,40,10,1004,25
2013-04-18 - 1800,31,11,SSE,116,63,10,1004,59
2013-04-19 - 0,28,7,SSE,116,79,10,1007,22
2013-04-19 - 300,27,6,S,116,82,10,1006,37
2013-04-19 - 600,29,4,S,113,76,10,1007,52
2013-04-19 - 900,34,7,SSE,113,53,10,1008,33
2013-04-19 - 1200,36,13,SSE,116,42,10,1006,22
2013-04-19 - 1500,35,15,SSE,176,46,9,1004,25
2013-04-19 - 1800,30,13,SSE,116,62,10,1004,59
2013-04-20 - 0,28,10,SSE,116,74,10,1007,22
2013-04-20 - 300,27,7,SE,113,77,10,1006,37
2013-04-20 - 600,28,5,SE,113,72,10,1007,52
2013-04-20 - 900,33,7,SSE,113,50,10,1008,33
2013-04-20 - 1200,35,12,SSE,119,43,10,1006,22
2013-04-20 - 1500,34,14,SSE,176,45,9,1004,25
2013-04-20 - 1800,30,12,SSE,113,58,10,1004,59
2013-04-21 - 0,27,9,SSE,113,72,10,1007,22
2013-04-21 - 300,26,7,SSE,113,77,10,1006,37
2013-04-21 - 600,28,4,SE,113,72,10,1007,52
2013-04-21 - 900,32,9,SE,116,51,10,1008,33
2013-04-21 - 1200,35,12,SE,119,44,10,1006,22
2013-04-21 - 1500,34,13,SSE,176,46,9,1004,25
2013-04-21 - 1800,29,11,SSE,116,64,10,1004,59
2013-04-22 - 0,27,7,SE,113,72,10,1007,22
2013-04-22 - 300,27,2,SE,116,76,10,1006,37
2013-04-22 - 600,28,5,ENE,116,72,10,1007,52
2013-04-22 - 900,33,8,ENE,116,50,10,1008,33
2013-04-22 - 1200,37,10,SE,116,39,10,1006,22
2013-04-22 - 1500,33,17,SE,356,54,7,1004,25
2013-04-22 - 1800,30,14,SE,116,69,10,1004,59
2013-04-23 - 0,28,8,SSE,116,76,10,1007,22
2013-04-23 - 300,27,4,SSE,116,79,10,1006,37
2013-04-23 - 600,28,6,E,116,74,10,1007,52
2013-04-23 - 900,30,8,ESE,356,66,7,1008,33
2013-04-23 - 1200,29,6,SSE,122,72,10,1006,22
2013-04-23 - 1500,29,4,SSE,266,71,2,1004,25
2013-04-23 - 1800,27,2,WNW,116,80,10,1004,59
2013-04-24 - 0,26,3,NNW,116,84,10,1007,22
2013-04-24 - 300,26,4,N,116,86,10,1006,37
2013-04-24 - 600,28,8,E,113,75,10,1007,52
2013-04-24 - 900,33,11,ESE,113,51,10,1008,33
2013-04-24 - 1200,36,15,SE,116,43,10,1006,22
2013-04-24 - 1500,34,19,SE,116,48,10,1004,25
2013-04-24 - 1800,29,15,SSE,113,69,10,1004,59
2013-04-25 - 0,27,9,SE,113,82,10,1007,22
2013-04-25 - 300,26,7,ESE,113,85,10,1006,37
2013-04-25 - 600,28,9,ESE,113,79,10,1007,52
2013-04-25 - 900,33,12,ESE,113,54,10,1008,33
2013-04-25 - 1200,35,15,SSE,116,43,10,1006,22
2013-04-25 - 1500,33,21,SSE,113,50,10,1004,25
2013-04-25 - 1800,29,14,SSE,113,69,10,1004,59
2013-04-26 - 0,27,8,SSE,113,82,10,1007,22
2013-04-26 - 300,26,5,SE,176,87,9,1006,37
2013-04-26 - 600,28,5,SE,113,79,10,1007,52
2013-04-26 - 900,33,7,SE,113,53,10,1008,33
2013-04-26 - 1200,35,9,SSE,116,47,10,1006,22
2013-04-26 - 1500,33,8,SSE,356,53,7,1004,25
2013-04-26 - 1800,29,14,SSE,113,70,10,1004,59
2013-04-27 - 0,27,8,SSE,116,82,10,1007,22
2013-04-27 - 300,27,6,SE,113,84,10,1006,37
2013-04-27 - 600,28,1,SSE,113,78,10,1007,52
2013-04-27 - 900,33,3,WSW,116,55,10,1008,33
2013-04-27 - 1200,34,3,W,116,50,10,1006,22
2013-04-27 - 1500,34,5,SE,176,51,9,1004,25
2013-04-27 - 1800,29,6,SE,116,71,10,1004,59
2013-05-01 - 0,27,8,SSE,113,78,10,1009,17
2013-05-01 - 300,27,6,SE,113,82,10,1008,15
2013-05-01 - 600,29,1,ESE,113,75,10,1010,11
2013-05-01 - 900,34,4,W,113,50,10,1009,10
2013-05-01 - 1200,37,4,SW,113,40,10,1008,51
2013-05-01 - 1500,35,13,SSW,176,44,9,1005,45
2013-05-01 - 1800,29,9,S,113,72,10,1008,63
2013-05-02 - 0,28,8,SSW,113,81,10,1009,17
2013-05-02 - 300,27,5,SSW,113,84,10,1008,15
2013-05-02 - 600,28,2,S,113,77,10,1010,11
2013-05-02 - 900,33,5,SSW,113,54,10,1009,10
2013-05-02 - 1200,35,9,SSW,113,48,10,1008,51
2013-05-02 - 1500,33,7,S,356,54,7,1005,45
2013-05-02 - 1800,29,11,SE,113,74,10,1008,63
2013-05-03 - 0,27,9,SSE,113,83,10,1009,17
2013-05-03 - 300,27,5,SSE,113,86,10,1008,15
2013-05-03 - 600,28,4,SSE,116,80,10,1010,11
2013-05-03 - 900,34,3,S,116,57,10,1009,10
2013-05-03 - 1200,36,6,SSE,113,46,10,1008,51
2013-05-03 - 1500,34,14,SSE,176,51,9,1005,45
2013-05-03 - 1800,29,11,SSE,113,71,10,1008,63
2013-05-04 - 0,28,8,SE,116,81,10,1009,17
2013-05-04 - 300,27,6,ESE,116,84,10,1008,15
2013-05-04 - 600,28,6,ESE,113,77,10,1010,11
2013-05-04 - 900,33,8,SE,116,56,10,1009,10
2013-05-04 - 1200,35,12,SE,116,49,10,1008,51
2013-05-04 - 1500,33,12,SE,356,57,7,1005,45
2013-05-04 - 1800,29,7,ESE,113,75,10,1008,63
2013-05-05 - 0,28,8,ESE,113,80,10,1009,17
2013-05-05 - 300,27,7,E,113,83,10,1008,15
2013-05-05 - 600,28,10,E,113,76,10,1010,11
2013-05-05 - 900,33,12,E,113,52,10,1009,10
2013-05-05 - 1200,36,13,ESE,116,40,10,1008,51
2013-05-05 - 1500,35,16,ESE,116,45,10,1005,45
2013-05-05 - 1800,30,10,SE,116,64,10,1008,63
2013-05-06 - 0,28,8,ESE,113,71,10,1009,17
2013-05-06 - 300,28,8,E,113,72,10,1008,15
2013-05-06 - 600,29,10,ENE,113,68,10,1010,11
2013-05-06 - 900,34,12,ENE,113,49,10,1009,10
2013-05-06 - 1200,36,6,NE,116,42,10,1008,51
2013-05-06 - 1500,33,6,E,353,58,10,1005,45
2013-05-06 - 1800,29,3,E,119,76,10,1008,63
2013-05-07 - 0,28,1,SE,116,82,10,1009,17
2013-05-07 - 300,28,3,NE,116,84,10,1008,15
2013-05-07 - 600,28,8,ENE,113,79,10,1010,11
2013-05-07 - 900,33,8,NE,113,58,10,1009,10
2013-05-07 - 1200,34,4,NE,113,53,10,1008,51
2013-05-07 - 1500,33,4,ESE,356,56,7,1005,45
2013-05-07 - 1800,29,4,E,116,79,10,1008,63
2013-05-08 - 0,28,3,ESE,116,83,10,1009,17
2013-05-08 - 300,28,3,E,116,84,10,1008,15
2013-05-08 - 600,29,6,E,116,79,10,1010,11
2013-05-08 - 900,34,5,ESE,176,57,9,1009,10
2013-05-08 - 1200,35,8,SE,116,51,10,1008,51
2013-05-08 - 1500,32,15,SE,356,64,7,1005,45
2013-05-08 - 1800,29,9,SE,113,79,10,1008,63
2013-05-09 - 0,28,9,SE,200,86,9,1009,17
2013-05-09 - 300,27,9,ESE,200,88,9,1008,15
2013-05-09 - 600,28,5,SE,119,84,10,1010,11
2013-05-09 - 900,32,8,SE,176,64,9,1009,10
2013-05-09 - 1200,35,10,SSE,116,52,10,1008,51
2013-05-09 - 1500,33,14,SE,176,57,9,1005,45
2013-05-09 - 1800,29,10,SSE,116,73,10,1008,63
2013-05-10 - 0,27,6,SSE,113,81,10,1009,17
2013-05-10 - 300,27,4,ESE,113,84,10,1008,15
2013-05-10 - 600,29,3,SE,113,78,10,1010,11
2013-05-10 - 900,34,4,SSW,113,55,10,1009,10
2013-05-10 - 1200,36,8,SSW,113,47,10,1008,51
2013-05-10 - 1500,34,10,S,176,53,9,1005,45
2013-05-10 - 1800,30,6,SSE,113,72,10,1008,63
2013-05-11 - 0,28,7,S,113,80,10,1009,17
2013-05-11 - 300,27,5,S,113,83,10,1008,15
2013-05-11 - 600,29,7,SSW,113,76,10,1010,11
2013-05-11 - 900,33,9,SW,113,57,10,1009,10
2013-05-11 - 1200,36,9,SW,116,46,10,1008,51
2013-05-11 - 1500,35,10,SSW,353,51,10,1005,45
2013-05-11 - 1800,30,9,SSE,200,72,9,1008,63
2013-05-12 - 0,28,7,SSE,116,79,10,1009,17
2013-05-12 - 300,28,4,S,176,82,9,1008,15
2013-05-12 - 600,29,5,SSW,113,75,10,1010,11
2013-05-12 - 900,33,8,SSW,113,55,10,1009,10
2013-05-12 - 1200,34,11,SSW,116,53,10,1008,51
2013-05-12 - 1500,32,15,SSW,356,65,7,1005,45
2013-05-12 - 1800,28,7,SW,200,84,9,1008,63
2013-05-13 - 0,27,5,SSW,116,84,10,1009,17
2013-05-13 - 300,27,3,SW,116,86,10,1008,15
2013-05-13 - 600,28,4,WSW,200,80,9,1010,11
2013-05-13 - 900,33,8,WSW,200,58,9,1009,10
2013-05-13 - 1200,35,8,WSW,116,45,10,1008,51
2013-05-13 - 1500,35,9,SW,176,46,9,1005,45
2013-05-13 - 1800,30,7,SSW,113,70,10,1008,63
2013-05-14 - 0,28,9,SSW,113,82,10,1009,17
2013-05-14 - 300,27,7,SSW,113,85,10,1008,15
2013-05-14 - 600,29,7,WSW,113,78,10,1010,11
2013-05-14 - 900,33,8,WSW,113,57,10,1009,10
2013-05-14 - 1200,36,8,W,113,45,10,1008,51
2013-05-14 - 1500,35,7,SW,356,51,7,1005,45
2013-05-14 - 1800,31,7,SSW,116,65,10,1008,63
2013-05-15 - 0,29,9,SW,116,79,10,1009,17
2013-05-15 - 300,28,8,SW,116,82,10,1008,15
2013-05-15 - 600,29,11,WSW,116,76,10,1010,11
2013-05-15 - 900,33,9,WSW,116,56,10,1009,10
2013-05-15 - 1200,35,10,SW,200,48,9,1008,51
2013-05-15 - 1500,34,12,SW,386,56,10,1005,45
2013-05-15 - 1800,30,6,SSW,200,72,9,1008,63
2013-05-16 - 0,28,7,SW,116,81,10,1009,17
2013-05-16 - 300,28,7,SSW,113,83,10,1008,15
2013-05-16 - 600,29,8,SW,113,80,10,1010,11
2013-05-16 - 900,33,12,SW,116,62,10,1009,10
2013-05-16 - 1200,35,12,SW,200,54,9,1008,51
2013-05-16 - 1500,33,9,SW,356,59,7,1005,45
2013-05-16 - 1800,30,9,SW,116,73,10,1008,63
2013-05-17 - 0,28,9,SSW,116,82,10,1009,17
2013-05-17 - 300,27,8,SW,176,86,9,1008,15
2013-05-17 - 600,29,6,SW,116,80,10,1010,11
2013-05-17 - 900,33,6,SSW,113,58,10,1009,10
2013-05-17 - 1200,35,11,SSW,200,53,9,1008,51
2013-05-17 - 1500,32,13,SSW,356,64,7,1005,45
2013-05-17 - 1800,29,9,S,113,78,10,1008,63
2013-05-18 - 0,27,6,SSW,116,84,10,1009,17
2013-05-18 - 300,27,3,SSW,116,87,10,1008,15
2013-05-18 - 600,29,7,SSW,116,78,10,1010,11
2013-05-18 - 900,33,11,SW,113,59,10,1009,10
2013-05-18 - 1200,34,12,SW,119,52,10,1008,51
2013-05-18 - 1500,32,9,SSW,359,66,3,1005,45
2013-05-18 - 1800,29,7,SSW,113,76,10,1008,63
2013-05-19 - 0,27,5,S,116,84,10,1009,17
2013-05-19 - 300,27,3,S,116,87,10,1008,15
2013-05-19 - 600,28,6,WSW,113,80,10,1010,11
2013-05-19 - 900,32,10,WSW,176,62,9,1009,10
2013-05-19 - 1200,34,12,SW,116,54,10,1008,51
2013-05-19 - 1500,32,13,SSW,356,62,7,1005,45
2013-05-19 - 1800,29,8,SSW,113,78,10,1008,63
2013-05-20 - 0,27,9,SW,113,84,10,1009,17
2013-05-20 - 300,26,5,SW,113,86,10,1008,15
2013-05-20 - 600,28,7,WSW,113,79,10,1010,11
2013-05-20 - 900,32,9,WSW,113,61,10,1009,10
2013-05-20 - 1200,34,12,WSW,119,52,10,1008,51
2013-05-20 - 1500,31,14,SW,359,66,3,1005,45
2013-05-20 - 1800,28,7,SSW,113,82,10,1008,63
2013-05-21 - 0,27,8,SW,113,85,10,1009,17
2013-05-21 - 300,26,6,SSW,113,87,10,1008,15
2013-05-21 - 600,28,8,WSW,113,81,10,1010,11
2013-05-21 - 900,32,12,WSW,200,62,9,1009,10
2013-05-21 - 1200,34,12,SW,200,58,9,1008,51
2013-05-21 - 1500,33,10,SSW,356,63,7,1005,45
2013-05-21 - 1800,29,9,S,113,76,10,1008,63
2013-05-22 - 0,27,8,SSW,113,85,10,1009,17
2013-05-22 - 300,26,6,SSW,113,88,10,1008,15
2013-05-22 - 600,28,8,SW,113,85,10,1010,11
2013-05-22 - 900,33,10,SW,113,61,10,1009,10
2013-05-22 - 1200,35,12,SW,200,50,9,1008,51
2013-05-22 - 1500,33,17,SSW,356,59,7,1005,45
2013-05-22 - 1800,29,9,S,116,75,10,1008,63
2013-05-23 - 0,28,9,WSW,200,86,9,1009,17
2013-05-23 - 300,27,8,WSW,356,89,7,1008,15
2013-05-23 - 600,28,9,SSW,113,85,10,1010,11
2013-05-23 - 900,32,10,SW,113,61,10,1009,10
2013-05-23 - 1200,35,11,SSW,200,51,9,1008,51
2013-05-23 - 1500,32,12,SW,356,65,7,1005,45
2013-05-23 - 1800,29,6,SW,113,81,10,1008,63
2013-05-24 - 0,27,10,SSW,116,87,10,1009,17
2013-05-24 - 300,26,6,SSW,116,89,10,1008,15
2013-05-24 - 600,28,6,SSW,116,82,10,1010,11
2013-05-24 - 900,32,9,SW,113,62,10,1009,10
2013-05-24 - 1200,34,10,SW,116,56,10,1008,51
2013-05-24 - 1500,32,11,SSW,176,65,9,1005,45
2013-05-24 - 1800,28,10,SW,116,82,10,1008,63
2013-05-25 - 0,27,6,SW,116,85,10,1009,17
